,0,1,2,3,4,5,6,name,id
210,6 pm,8 pm,11 pm,12 am,11 pm,11 pm,1 am,La Fabrica Central,ChIJO1wSaVR344kRgXMAOEahAwc
211,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,5 pm,Basta Pasta,ChIJjWsXGll344kRbW2MgMbH2g0
212,7 pm,6 pm,6 pm,6 pm,Closed,Closed,6 pm,Jerusalem Pita,ChIJBzdfRJV544kRQOks_sRx2yM
213,7 pm,8 pm,7 pm,7 pm,7 pm,8 pm,6 pm,Cambridge Brewing Company,ChIJE7TL4a1w44kR-QT7CkRaMT4
214,7 pm,7 pm,7 pm,7 pm,7 pm,8 pm,12 pm,Catalyst,ChIJzS9HAqxw44kRCo0sjqcyWj8
215,12 pm,12 pm,12 pm,12 pm,8 am,Closed,Closed,Kendall Kitchen,ChIJtwrGxa1w44kRmZw3XSVKFU8
216,9 pm,8 pm,8 pm,9 pm,9 pm,10 pm,1 pm,730 Tavern,ChIJBeTjO1F344kR9idAAsxh2VA
217,8 pm,7 pm,7 pm,7 pm,7 pm,7 pm,7 pm,The Smoke Shop BBQ,ChIJq6qqHq5w44kRvJWU5S5rLBM
218,12 pm,8 pm,12 pm,9 pm,11 pm,12 am,2 am,ABC Pizza House,ChIJ04ADPVF344kRKxD32I07DnM
219,1 pm,12 pm,1 pm,12 pm,12 pm,1 pm,Closed,Izzy's Restaurant & Sub Shop,ChIJZ7XRGK1w44kRbD6XCQ38Ljk
220,10 pm,8 pm,9 pm,9 pm,10 pm,10 pm,12 am,The Field Pub,ChIJj2F4XlF344kRh-hwoQOZLt4
221,7 pm,7 pm,8 pm,7 pm,8 pm,7 pm,1 pm,India Pavilion,ChIJBV6BT1F344kRyP_heZK4r5k
222,8 am,8 am,8 am,12 pm,12 pm,11 am,12 pm,Au Bon Pain,ChIJnTiroKpw44kRyLOPINqlKLU
223,10 am,11 am,12 pm,12 pm,1 pm,5 pm,Closed,Livite,ChIJqZDhq7F544kR65l9W4K_cDw
224,7 pm,4 pm,1 pm,7 pm,9 pm,7 pm,1 pm,Chef Chow's,ChIJc4KLiZV544kRHpIuACJsolw
225,9 pm,8 pm,8 pm,9 pm,9 pm,10 pm,1 pm,"730 Tavern, Kitchen & Patio",ChIJySIiPFF344kRXyeSRFi0AJk
226,12 pm,12 pm,12 pm,12 pm,12 pm,12 pm,12 pm,Go Go Curry,ChIJ2SAV-lN344kRiyGQ_h9PL68
227,6 pm,6 pm,7 pm,12 pm,6 pm,2 pm,1 pm,Mainely Burgers,ChIJoRFIOVF344kRg0LXIu4LmEI
228,7 pm,Closed,7 pm,7 pm,7 pm,6 pm,7 pm,Shanghai Fresh,ChIJhTuKFFF344kRMJkJ2xEvM74
229,8 pm,9 pm,11 pm,11 pm,12 am,11 pm,12 am,Tavern Allston,ChIJG3NyXQ5544kRYZWb_fjsLh8
230,12 pm,Closed,7 pm,1 pm,4 pm,6 pm,3 pm,Asia Wok,ChIJjXSlUB9544kRT8jBq0dKaqo
231,7 pm,12 pm,9 pm,12 am,9 pm,1 am,1 am,Clover (HFI),ChIJ362dc1R344kRqHTdolOZgS0
232,7 pm,7 pm,8 pm,8 pm,7 pm,8 pm,1 pm,Loui Loui,ChIJ96VqgcV544kRQ-qHW-KkMRY
233,7 pm,8 pm,7 pm,7 pm,8 pm,8 pm,7 pm,Sushi Factory,ChIJqQmbnsV544kRYQNKvZdlMWE
234,1 pm,12 pm,12 pm,12 pm,12 pm,12 pm,Closed,Bao Nation,ChIJwX-L8FN344kR_bY-XGjZDdA
235,1 pm,12 pm,1 pm,12 pm,12 pm,1 pm,12 pm,Michael's Deli,ChIJjTujKr5544kRei44VlAzQdY
236,7 pm,7 pm,7 pm,7 pm,8 pm,7 pm,7 pm,Happy Lamb,ChIJ3dESd1R344kRRbxnm9bFoZ8
237,7 pm,7 pm,7 pm,8 pm,7 pm,7 pm,7 pm,Mala,ChIJ9apTCcV544kRKPljhTwfJrM
238,7 pm,7 pm,7 pm,8 pm,7 pm,12 pm,7 pm,Little Donkey,ChIJGTS3dVR344kRy3uxf6fp5CE
239,7 pm,1 pm,7 pm,6 pm,7 pm,2 pm,7 pm,Los Amigos Taqueria,ChIJ-VRMXZV544kRhEqlH6hulU8
240,7 pm,6 pm,7 pm,7 pm,7 pm,1 pm,6 pm,Curry House,ChIJ26co079544kRwa9YJ_XY9X0
241,12 am,9 pm,11 pm,12 am,11 pm,2 am,1 am,College Pizza,ChIJkbIcKh5644kRhN_0xpfZZKw
242,12 pm,7 pm,12 pm,1 pm,12 pm,7 pm,2 pm,Thaitation,ChIJk_WSLB5644kRGz1RTn1xwOk
243,7 am,7 am,7 am,7 am,7 am,8 am,10 am,Dunkin' Donuts,ChIJuxb3YpV544kR2AMWugPXnto
244,6 pm,5 pm,6 pm,6 pm,6 pm,8 pm,7 pm,Giggling Rice,ChIJgVEFPfJ544kRT4x39LwiPE0
245,6 pm,7 pm,6 pm,9 pm,6 pm,6 pm,1 pm,Lee's Burger,ChIJdypj079544kRkxpxt3RQYdA
246,Closed,7 pm,7 pm,8 pm,8 pm,8 pm,12 pm,Tapestry,ChIJJ36wCPV544kRaVEgLA-GVFk
247,9 pm,7 pm,8 pm,7 pm,8 pm,8 pm,7 pm,Porto Maltese,ChIJfWHD_7B544kR4Hk-YlN1b38
248,7 pm,7 pm,7 pm,8 pm,8 pm,7 pm,Closed,Taberna De Haro,ChIJm_0hL_J544kRaVACdKJlK9s
249,7 pm,8 pm,7 pm,7 pm,9 pm,7 pm,7 pm,Prairie Fire,ChIJBUqwKb5544kRYYvQ83hS4L4
250,7 pm,7 pm,7 pm,7 pm,7 pm,6 pm,6 pm,The Daily Catch,ChIJ58MnRsd544kR0YdQMM1B8j8
251,7 pm,7 pm,7 pm,7 pm,1 pm,Closed,6 pm,The Kosher Wok,ChIJZ2v1Tcd544kRhLn7vLOW3x4
252,7 pm,7 pm,7 pm,7 pm,7 pm,6 pm,7 pm,Genki Ya - Brookline,ChIJP-DmqcB544kR6Qr1sQI_-EQ
253,9 am,10 am,9 am,8 am,9 am,10 am,10 am,Kupel's Bakery,ChIJT62mU8d544kRmOajsLFztCE
254,6 pm,7 pm,6 pm,5 pm,Closed,Closed,6 pm,Cafe Eilat,ChIJm6XJlb9544kRZv9H9q5P568
255,1 pm,7 pm,7 pm,7 pm,8 pm,6 pm,5 pm,Pizzeria Dante,ChIJV9tO7r5544kR9E7HfyT2yxg
256,7 pm,7 pm,7 pm,7 pm,8 pm,7 pm,7 pm,Jin's Fine Asian,ChIJw-xam79544kRIgnwpyJn7y4
